기준_년분기_코드,자치구_코드,자치구_코드_명,총_직장인구_수,남성_직장인구_수,여성_직장인구_수,연령대_10_직장인구_수,연령대_20_직장인구_수,연령대_30_직장인구_수,연령대_40_직장인구_수,연령대_50_직장인구_수,연령대_60_이상_직장인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20202,11110,종로구,230853.0,135290.0,95563.0,2334.0,41050.0,67759.0,64767.0,40262.0,14681.0,896.0,17742.0,37630.0,41049.0,28226.0,9747.0,1438.0,23308.0,30129.0,23718.0,12036.0,4934.0
20201,11110,종로구,230853.0,135290.0,95563.0,2334.0,41050.0,67759.0,64767.0,40262.0,14681.0,896.0,17742.0,37630.0,41049.0,28226.0,9747.0,1438.0,23308.0,30129.0,23718.0,12036.0,4934.0
20194,11110,종로구,230853.0,135290.0,95563.0,2334.0,41050.0,67759.0,64767.0,40262.0,14681.0,896.0,17742.0,37630.0,41049.0,28226.0,9747.0,1438.0,23308.0,30129.0,23718.0,12036.0,4934.0
20252,11110,종로구,223590.0,131787.0,91803.0,1828.0,39075.0,65997.0,63365.0,39373.0,13952.0,655.0,16913.0,36818.0,40315.0,27675.0,9411.0,1173.0,22162.0,29179.0,23050.0,11698.0,4541.0
20191,11110,종로구,230853.0,135290.0,95563.0,2334.0,41050.0,67759.0,64767.0,40262.0,14681.0,896.0,17742.0,37630.0,41049.0,28226.0,9747.0,1438.0,23308.0,30129.0,23718.0,12036.0,4934.0
20193,11110,종로구,230853.0,135290.0,95563.0,2334.0,41050.0,67759.0,64767.0,40262.0,14681.0,896.0,17742.0,37630.0,41049.0,28226.0,9747.0,1438.0,23308.0,30129.0,23718.0,12036.0,4934.0
20192,11110,종로구,230853.0,135290.0,95563.0,2334.0,41050.0,67759.0,64767.0,40262.0,14681.0,896.0,17742.0,37630.0,41049.0,28226.0,9747.0,1438.0,23308.0,30129.0,23718.0,12036.0,4934.0
20252,11140,중구,406487.0,224165.0,182322.0,1094.0,88336.0,128485.0,101450.0,64910.0,22212.0,314.0,34586.0,68234.0,63905.0,43117.0,14009.0,780.0,53750.0,60251.0,37545.0,21793.0,8203.0
20251,11140,중구,406487.0,224165.0,182322.0,1094.0,88336.0,128485.0,101450.0,64910.0,22212.0,314.0,34586.0,68234.0,63905.0,43117.0,14009.0,780.0,53750.0,60251.0,37545.0,21793.0,8203.0
20252,11170,용산구,176024.0,100620.0,75404.0,215.0,37562.0,53215.0,46007.0,29909.0,9116.0,55.0,13826.0,28882.0,29128.0,21894.0,6835.0,160.0,23736.0,24333.0,16879.0,8015.0,2281.0
20234,11110,종로구,216663.0,126725.0,89938.0,1942.0,38793.0,64132.0,60943.0,37588.0,13265.0,712.0,16751.0,35390.0,38492.0,26449.0,8931.0,1230.0,22042.0,28742.0,22451.0,11139.0,4334.0
20233,11110,종로구,219782.0,128549.0,91233.0,1989.0,39226.0,64883.0,61860.0,38278.0,13546.0,728.0,16972.0,35836.0,39060.0,26843.0,9110.0,1261.0,22254.0,29047.0,22800.0,11435.0,4436.0
20232,11110,종로구,219782.0,128549.0,91233.0,1989.0,39226.0,64883.0,61860.0,38278.0,13546.0,728.0,16972.0,35836.0,39060.0,26843.0,9110.0,1261.0,22254.0,29047.0,22800.0,11435.0,4436.0
20231,11110,종로구,219782.0,128549.0,91233.0,1989.0,39226.0,64883.0,61860.0,38278.0,13546.0,728.0,16972.0,35836.0,39060.0,26843.0,9110.0,1261.0,22254.0,29047.0,22800.0,11435.0,4436.0
20224,11110,종로구,219782.0,128549.0,91233.0,1989.0,39226.0,64883.0,61860.0,38278.0,13546.0,728.0,16972.0,35836.0,39060.0,26843.0,9110.0,1261.0,22254.0,29047.0,22800.0,11435.0,4436.0
20223,11110,종로구,227519.0,133859.0,93660.0,2095.0,40216.0,67043.0,63987.0,39799.0,14379.0,777.0,17360.0,37400.0,40712.0,27994.0,9616.0,1318.0,22856.0,29643.0,23275.0,11805.0,4763.0
