기준_년분기_코드,자치구_코드,자치구_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총_금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20242,11215,광진구,3192971.0,07,100541241000.0,22634699000.0,3375381000.0,1864827000.0,15005146000.0,5961023000.0,3393363000.0,4281862000.0,6687173000.0,5054612000.0,32283155000.0
20242,11500,강서구,3160623.0,07,231352477000.0,34067640000.0,6533371000.0,2276283000.0,32773565000.0,33678827000.0,6986997000.0,4639547000.0,55668619000.0,16818036000.0,37909592000.0
20242,11740,강동구,3292857.0,07,157864735000.0,23331462000.0,2428563000.0,1590537000.0,21974063000.0,3736967000.0,6822469000.0,2666873000.0,66151709000.0,3909040000.0,25253052000.0
20243,11260,중랑구,2598785.0,06,24488372000.0,7415487000.0,384896000.0,486318000.0,4031113000.0,1791594000.0,944118000.0,998291000.0,1317535000.0,892071000.0,6226949000.0
20243,11470,양천구,3796034.0,08,40012838000.0,9217440000.0,398730000.0,389703000.0,8155027000.0,2268938000.0,5841107000.0,732643000.0,3974345000.0,1369768000.0,7665137000.0
20243,11320,도봉구,2785111.0,06,18472546000.0,5644521000.0,281397000.0,418208000.0,2580304000.0,1737615000.0,943390000.0,492750000.0,1061880000.0,645653000.0,4666828000.0
20243,11380,은평구,2912739.0,06,32972833000.0,8100087000.0,1488217000.0,637836000.0,7169816000.0,1657336000.0,1994427000.0,1047590000.0,1770700000.0,1278237000.0,7828587000.0
20243,11530,구로구,2994059.0,07,617570580000.0,9150682000.0,573222000.0,785657000.0,8595658000.0,1606796000.0,1498935000.0,1077839000.0,584996550000.0,1309362000.0,7975879000.0
20243,11680,강남구,4943841.0,09,968613050000.0,15590985000.0,10842237000.0,1832315000.0,48517966000.0,10409469000.0,15326158000.0,3675678000.0,510631764000.0,321174504000.0,30611974000.0
20243,11200,성동구,3734499.0,07,34121909000.0,7382555000.0,1387362000.0,426547000.0,5050117000.0,2141594000.0,1223405000.0,899114000.0,2490080000.0,3967730000.0,9153405000.0
20243,11230,동대문구,3030256.0,07,32329332000.0,9021408000.0,810795000.0,613515000.0,7946465000.0,2006155000.0,1166206000.0,748446000.0,1713842000.0,760348000.0,7542152000.0
20243,11410,서대문구,3417706.0,07,46328681000.0,6001435000.0,458974000.0,303417000.0,26569787000.0,1119648000.0,1506659000.0,625977000.0,1729802000.0,1126665000.0,6886317000.0
20243,11440,마포구,3832436.0,08,481976746000.0,11584310000.0,2506601000.0,1325069000.0,7418859000.0,1402244000.0,3551125000.0,2823521000.0,429017610000.0,2974067000.0,19373340000.0
20243,11560,영등포구,3604887.0,07,96146088000.0,9564188000.0,1318485000.0,1044539000.0,9776038000.0,28677173000.0,1505342000.0,1561490000.0,17006310000.0,8362392000.0,17330131000.0
20243,11620,관악구,2771927.0,06,42861991000.0,10650856000.0,929093000.0,640394000.0,6702233000.0,1118323000.0,5179830000.0,1826985000.0,3172964000.0,1624132000.0,11017181000.0
20243,11710,송파구,3995905.0,08,135699676000.0,14194819000.0,2387114000.0,1399950000.0,14988370000.0,3476220000.0,4066943000.0,1839705000.0,73479450000.0,2697307000.0,17169798000.0
20243,11110,종로구,3725859.0,07,76268855000.0,5897143000.0,1741450000.0,361681000.0,8346341000.0,1962296000.0,2387258000.0,1614892000.0,6544394000.0,31257954000.0,16155446000.0
20243,11290,성북구,3281773.0,07,29255603000.0,7850672000.0,592626000.0,436316000.0,4282761000.0,2161537000.0,1675004000.0,825806000.0,2554143000.0,1119143000.0,7757595000.0
20243,11305,강북구,2547460.0,06,21923564000.0,5339246000.0,566520000.0,442586000.0,4210379000.0,1272920000.0,558215000.0,965252000.0,1322449000.0,985561000.0,6260436000.0
20243,11350,노원구,3195375.0,07,44112600000.0,13479718000.0,509209000.0,508488000.0,7288844000.0,1663729000.0,3518864000.0,1102650000.0,4478421000.0,1728046000.0,9834631000.0
20243,11545,금천구,2632285.0,06,25883341000.0,5851320000.0,3675249000.0,426662000.0,3390074000.0,1399442000.0,515277000.0,637874000.0,4217127000.0,814016000.0,4956300000.0
20243,11170,용산구,3971498.0,08,96311255000.0,55416486000.0,1019581000.0,2885193000.0,2132619000.0,1023491000.0,510376000.0,1146879000.0,10067689000.0,10027735000.0,12081206000.0
20243,11590,동작구,3454170.0,07,64945210000.0,8511704000.0,361871000.0,525787000.0,6251806000.0,35458875000.0,1592886000.0,824947000.0,1654944000.0,1514975000.0,8247415000.0
20243,11650,서초구,4912401.0,09,215918912000.0,8337965000.0,1818430000.0,5654137000.0,24380042000.0,2275720000.0,5060462000.0,1692037000.0,82755303000.0,66669406000.0,17275410000.0
20243,11140,중구,3513603.0,07,1021301626000.0,14674757000.0,3061237000.0,2185419000.0,5296958000.0,140874015000.0,9016627000.0,1027237000.0,807412181000.0,24780227000.0,12972968000.0
20231,11215,광진구,3192971.0,07,94779593000.0,20890784000.0,2984254000.0,2016273000.0,12347919000.0,5956030000.0,3158914000.0,4697744000.0,6487302000.0,5636812000.0,30603561000.0
