기준_년분기_코드,자치구_코드_명,전체임대료
2019년 1분기,서울시 전체,99721
2019년 1분기,종로구,152261
2019년 1분기,중구,211449
2019년 1분기,용산구,93586
2019년 1분기,성동구,89189
2019년 1분기,광진구,71668
2019년 1분기,동대문구,73118
2019년 1분기,중랑구,50656
2019년 1분기,성북구,75994
2019년 1분기,강북구,66874
2019년 1분기,도봉구,63330
2019년 1분기,노원구,74470
2019년 1분기,은평구,67726
2019년 1분기,서대문구,85024
2019년 1분기,마포구,98002
2019년 1분기,양천구,67755
2019년 1분기,강서구,76132
2019년 1분기,구로구,88740
2019년 1분기,금천구,67457
2019년 1분기,영등포구,74571
2019년 1분기,동작구,77679
2019년 1분기,관악구,69761
2019년 1분기,서초구,93313
2019년 1분기,강남구,107966
2019년 1분기,송파구,89479
2019년 1분기,강동구,62378
2020년 1분기,서울시 전체,106287
2020년 1분기,종로구,142856
2020년 1분기,중구,240567
2020년 1분기,용산구,92311
2020년 1분기,성동구,80425
2020년 1분기,광진구,75504
2020년 1분기,동대문구,58625
2020년 1분기,중랑구,49362
2020년 1분기,성북구,59220
2020년 1분기,강북구,70279
2020년 1분기,도봉구,46416
2020년 1분기,노원구,70031
2020년 1분기,은평구,72526
2020년 1분기,서대문구,72976
2020년 1분기,마포구,103387
2020년 1분기,양천구,66494
2020년 1분기,강서구,75464
2020년 1분기,구로구,85037
2020년 1분기,금천구,90378
2020년 1분기,영등포구,84262
2020년 1분기,동작구,77631
2020년 1분기,관악구,71939
2020년 1분기,서초구,101477
2020년 1분기,강남구,119247
2020년 1분기,송파구,95968
2020년 1분기,강동구,62930
2021년 1분기,서울시 전체,104182
2021년 1분기,종로구,136242
2021년 1분기,중구,223571
2021년 1분기,용산구,98521
2021년 1분기,성동구,91543
2021년 1분기,광진구,70922
2021년 1분기,동대문구,62440
2021년 1분기,중랑구,69774
2021년 1분기,성북구,63418
2021년 1분기,강북구,58620
2021년 1분기,도봉구,56146
2021년 1분기,노원구,64935
2021년 1분기,은평구,66005
2021년 1분기,서대문구,74020
2021년 1분기,마포구,105779
2021년 1분기,양천구,74373
2021년 1분기,강서구,75203
2021년 1분기,구로구,89527
2021년 1분기,금천구,88490
2021년 1분기,영등포구,83524
2021년 1분기,동작구,77200
2021년 1분기,관악구,77836
2021년 1분기,서초구,107901
2021년 1분기,강남구,116176
2021년 1분기,송파구,117175
2021년 1분기,강동구,74446
2019년 2분기,서울시 전체,117259
2019년 2분기,종로구,193248
2019년 2분기,중구,215808
2019년 2분기,용산구,116721
2019년 2분기,성동구,106436
2019년 2분기,광진구,95749
2019년 2분기,동대문구,87781
2019년 2분기,중랑구,71942
2019년 2분기,성북구,89401
2019년 2분기,강북구,85014
2019년 2분기,도봉구,77285
2019년 2분기,노원구,101957
2019년 2분기,은평구,86795
2019년 2분기,서대문구,102881
2019년 2분기,마포구,120539
2019년 2분기,양천구,95275
2019년 2분기,강서구,101963
2019년 2분기,구로구,103417
2019년 2분기,금천구,94769
2019년 2분기,영등포구,96614
2019년 2분기,동작구,103268
2019년 2분기,관악구,102066
2019년 2분기,서초구,115266
2019년 2분기,강남구,137863
2019년 2분기,송파구,117011
2019년 2분기,강동구,85306
2020년 2분기,서울시 전체,124141
2020년 2분기,종로구,172671
2020년 2분기,중구,247197
2020년 2분기,용산구,115824
2020년 2분기,성동구,102339
2020년 2분기,광진구,96574
2020년 2분기,동대문구,86867
2020년 2분기,중랑구,74594
2020년 2분기,성북구,86051
2020년 2분기,강북구,82005
2020년 2분기,도봉구,77028
2020년 2분기,노원구,104246
2020년 2분기,은평구,91568
2020년 2분기,서대문구,103038
2020년 2분기,마포구,125232
2020년 2분기,양천구,94643
2020년 2분기,강서구,101796
2020년 2분기,구로구,108377
2020년 2분기,금천구,104859
2020년 2분기,영등포구,105369
2020년 2분기,동작구,108651
2020년 2분기,관악구,98986
2020년 2분기,서초구,122134
2020년 2분기,강남구,143816
2020년 2분기,송파구,124576
2020년 2분기,강동구,100560
2021년 2분기,서울시 전체,119806
2021년 2분기,종로구,165171
2021년 2분기,중구,219918
2021년 2분기,용산구,119769
2021년 2분기,성동구,117655
2021년 2분기,광진구,96656
2021년 2분기,동대문구,91289
2021년 2분기,중랑구,89873
2021년 2분기,성북구,90713
2021년 2분기,강북구,80273
2021년 2분기,도봉구,76683
2021년 2분기,노원구,95496
2021년 2분기,은평구,86457
2021년 2분기,서대문구,103918
2021년 2분기,마포구,133303
2021년 2분기,양천구,98397
2021년 2분기,강서구,110374
2021년 2분기,구로구,97783
2021년 2분기,금천구,107747
2021년 2분기,영등포구,104205
2021년 2분기,동작구,110186
2021년 2분기,관악구,103540
2021년 2분기,서초구,127061
2021년 2분기,강남구,149499
2021년 2분기,송파구,156502
2021년 2분기,강동구,100028
2019년 3분기,서울시 전체,117035
2019년 3분기,종로구,192155
2019년 3분기,중구,218647
2019년 3분기,용산구,111754
2019년 3분기,성동구,103211
2019년 3분기,광진구,94842
2019년 3분기,동대문구,82114
2019년 3분기,중랑구,71030
2019년 3분기,성북구,85012
2019년 3분기,강북구,84300
2019년 3분기,도봉구,78291
2019년 3분기,노원구,102742
2019년 3분기,은평구,87368
2019년 3분기,서대문구,99610
2019년 3분기,마포구,121589
2019년 3분기,양천구,94767
2019년 3분기,강서구,102020
2019년 3분기,구로구,103943
2019년 3분기,금천구,96599
2019년 3분기,영등포구,96383
2019년 3분기,동작구,104731
2019년 3분기,관악구,100111
2019년 3분기,서초구,115274
2019년 3분기,강남구,139190
2019년 3분기,송파구,115549
2019년 3분기,강동구,85734
2020년 3분기,서울시 전체,124241
2020년 3분기,종로구,171678
2020년 3분기,중구,247416
2020년 3분기,용산구,116640
2020년 3분기,성동구,103605
2020년 3분기,광진구,95941
2020년 3분기,동대문구,87744
2020년 3분기,중랑구,77344
2020년 3분기,성북구,87723
2020년 3분기,강북구,82248
2020년 3분기,도봉구,75101
2020년 3분기,노원구,102102
2020년 3분기,은평구,90796
2020년 3분기,서대문구,102289
2020년 3분기,마포구,126919
2020년 3분기,양천구,95701
2020년 3분기,강서구,101813
2020년 3분기,구로구,108939
2020년 3분기,금천구,105373
2020년 3분기,영등포구,106843
2020년 3분기,동작구,109948
2020년 3분기,관악구,100471
2020년 3분기,서초구,123223
2020년 3분기,강남구,144346
2020년 3분기,송파구,126628
2020년 3분기,강동구,102762
2021년 3분기,서울시 전체,124374
2021년 3분기,종로구,171612
2021년 3분기,중구,223773
2021년 3분기,용산구,122682
2021년 3분기,성동구,122059
2021년 3분기,광진구,101067
2021년 3분기,동대문구,93444
2021년 3분기,중랑구,90648
2021년 3분기,성북구,94592
2021년 3분기,강북구,84915
2021년 3분기,도봉구,80695
2021년 3분기,노원구,98390
2021년 3분기,은평구,91664
2021년 3분기,서대문구,109684
2021년 3분기,마포구,135933
2021년 3분기,양천구,101719
2021년 3분기,강서구,113396
2021년 3분기,구로구,101003
2021년 3분기,금천구,106915
2021년 3분기,영등포구,106931
2021년 3분기,동작구,113114
2021년 3분기,관악구,106099
2021년 3분기,서초구,128173
2021년 3분기,강남구,148812
2021년 3분기,송파구,153066
2021년 3분기,강동구,101279
2019년 4분기,서울시 전체,119401
2019년 4분기,종로구,188430
2019년 4분기,중구,228567
2019년 4분기,용산구,110863
2019년 4분기,성동구,102582
2019년 4분기,광진구,97741
2019년 4분기,동대문구,81959
2019년 4분기,중랑구,72084
2019년 4분기,성북구,85384
2019년 4분기,강북구,85163
2019년 4분기,도봉구,77091
2019년 4분기,노원구,102403
2019년 4분기,은평구,88177
2019년 4분기,서대문구,99017
2019년 4분기,마포구,123115
2019년 4분기,양천구,94762
2019년 4분기,강서구,102332
2019년 4분기,구로구,105182
2019년 4분기,금천구,100755
2019년 4분기,영등포구,96464
2019년 4분기,동작구,104771
