,기준_년분기_코드,자치구_코드_명,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울시_운영_영업_개월_평균,서울시_폐업_영업_개월_평균
64,20191,중구,HH,112.0,57.0,93.0,48.0
65,20191,관악구,LL,91.0,47.0,93.0,48.0
381,20191,마포구,LL,78.0,46.0,93.0,48.0
382,20191,노원구,LL,87.0,46.0,93.0,48.0
401,20191,송파구,LL,91.0,46.0,93.0,48.0
390,20191,영등포구,HH,97.0,49.0,93.0,48.0
391,20191,동작구,HH,97.0,50.0,93.0,48.0
371,20191,도봉구,LL,89.0,46.0,93.0,48.0
368,20191,강북구,LL,89.0,45.0,93.0,48.0
62,20191,금천구,LL,86.0,47.0,93.0,48.0
63,20191,양천구,LL,90.0,46.0,93.0,48.0
399,20191,강남구,LL,85.0,46.0,93.0,48.0
389,20191,구로구,LL,92.0,47.0,93.0,48.0
398,20191,서초구,HH,99.0,49.0,93.0,48.0
400,20191,강동구,LL,90.0,46.0,93.0,48.0
388,20191,강서구,LL,79.0,47.0,93.0,48.0
379,20191,은평구,LL,88.0,48.0,93.0,48.0
380,20191,서대문구,HH,97.0,50.0,93.0,48.0
367,20191,동대문구,HH,101.0,49.0,93.0,48.0
369,20191,성북구,HH,95.0,49.0,93.0,48.0
370,20191,중랑구,LL,91.0,45.0,93.0,48.0
360,20191,성동구,LH,88.0,50.0,93.0,48.0
359,20191,용산구,HH,100.0,53.0,93.0,48.0
361,20191,광진구,LL,91.0,48.0,93.0,48.0
267,20191,종로구,HH,112.0,57.0,93.0,48.0
363,20192,강북구,LL,89.0,46.0,93.0,49.0
358,20192,중구,HH,112.0,57.0,93.0,49.0
357,20192,종로구,HH,112.0,58.0,93.0,49.0
355,20192,성동구,LH,88.0,50.0,93.0,49.0
362,20192,동대문구,HH,102.0,49.0,93.0,49.0
365,20192,중랑구,LL,91.0,46.0,93.0,49.0
375,20192,서대문구,HH,96.0,50.0,93.0,49.0
374,20192,은평구,LL,88.0,48.0,93.0,49.0
364,20192,성북구,HH,94.0,49.0,93.0,49.0
354,20192,용산구,HH,100.0,53.0,93.0,49.0
383,20192,강서구,LL,79.0,47.0,93.0,49.0
377,20192,노원구,LL,87.0,46.0,93.0,49.0
