기준_년분기_코드,자치구_코드_명,전체임대료
20191,종로구,152261
20191,강동구,62378
20191,강남구,107966
20191,서초구,93313
20191,관악구,69761
20191,동작구,77679
20191,영등포구,74571
20191,금천구,67457
20191,구로구,88740
20191,강서구,76132
20191,양천구,67755
20191,마포구,98002
20191,송파구,89479
20191,은평구,67726
20191,노원구,74470
20191,도봉구,63330
20191,강북구,66874
20191,성북구,75994
20191,중랑구,50656
20191,동대문구,73118
20191,광진구,71668
20191,성동구,89189
20191,용산구,93586
20191,중구,211449
20191,서대문구,85024
20192,강서구,101963
20192,구로구,103417
20192,금천구,94769
20192,강남구,137863
20192,동작구,103268
20192,관악구,102066
20192,서초구,115266
20192,양천구,95275
20192,영등포구,96614
20192,마포구,120539
20192,성북구,89401
20192,은평구,86795
20192,노원구,101957
20192,도봉구,77285
20192,강북구,85014
20192,중랑구,71942
20192,동대문구,87781
20192,광진구,95749
20192,성동구,106436
20192,용산구,116721
20192,송파구,117011
20192,서대문구,102881
20192,강동구,85306
20192,종로구,193248
20192,중구,215808
20193,중구,218647
20193,강동구,85734
20193,송파구,115549
20193,강남구,139190
20193,서초구,115274
20193,관악구,100111
20193,동작구,104731
20193,영등포구,96383
20193,금천구,96599
20193,구로구,103943
20193,강서구,102020
20193,양천구,94767
20193,서대문구,99610
20193,은평구,87368
20193,노원구,102742
20193,도봉구,78291
20193,강북구,84300
20193,성북구,85012
20193,중랑구,71030
20193,광진구,94842
20193,성동구,103211
20193,용산구,111754
20193,종로구,192155
20193,마포구,121589
20193,동대문구,82114
20194,양천구,94762
20194,동대문구,81959
20194,중랑구,72084
20194,성북구,85384
20194,강북구,85163
20194,도봉구,77091
20194,노원구,102403
20194,은평구,88177
20194,서대문구,99017
20194,마포구,123115
20194,강서구,102332
20194,구로구,105182
20194,금천구,100755
20194,영등포구,96464
20194,동작구,104771
20194,관악구,98626
20194,서초구,118110
20194,강남구,141815
20194,송파구,115451
20194,강동구,86943
20194,광진구,97741
20194,용산구,110863
20194,성동구,102582
20194,중구,228567
20194,종로구,188430
20201,종로구,142856
20201,중구,240567
20201,동대문구,58625
20201,중랑구,49362
20201,성북구,59220
20201,강북구,70279
20201,도봉구,46416
20201,노원구,70031
20201,은평구,72526
20201,서대문구,72976
20201,마포구,103387
20201,용산구,92311
20201,양천구,66494
20201,강서구,75464
20201,구로구,85037
20201,금천구,90378
20201,영등포구,84262
20201,동작구,77631
20201,관악구,71939
20201,서초구,101477
20201,강남구,119247
20201,송파구,95968
20201,광진구,75504
20201,성동구,80425
20201,강동구,62930
20202,강남구,143816
20202,종로구,172671
20202,중구,247197
20202,용산구,115824
20202,성동구,102339
20202,광진구,96574
20202,동대문구,86867
20202,중랑구,74594
20202,성북구,86051
20202,강북구,82005
20202,도봉구,77028
20202,강동구,100560
20202,은평구,91568
20202,노원구,104246
20202,서초구,122134
20202,관악구,98986
20202,동작구,108651
20202,영등포구,105369
20202,송파구,124576
20202,구로구,108377
20202,강서구,101796
20202,양천구,94643
20202,마포구,125232
20202,서대문구,103038
20202,금천구,104859
20203,강남구,144346
20203,서초구,123223
20203,관악구,100471
20203,동작구,109948
20203,금천구,105373
20203,구로구,108939
20203,강서구,101813
20203,양천구,95701
20203,마포구,126919
20203,서대문구,102289
20203,도봉구,75101
20203,노원구,102102
20203,강북구,82248
20203,성북구,87723
20203,동대문구,87744
20203,광진구,95941
20203,성동구,103605
20203,용산구,116640
20203,중구,247416
20203,종로구,171678
20203,은평구,90796
20203,중랑구,77344
20203,영등포구,106843
20203,강동구,102762
20203,송파구,126628
20204,강동구,102027
20204,송파구,129797
20204,강남구,144513
20204,서초구,125049
20204,관악구,102648
20204,동작구,109551
20204,영등포구,106710
20204,금천구,103833
20204,구로구,107811
20204,강서구,101248
20204,양천구,96121
20204,종로구,167010
20204,은평구,90367
20204,노원구,100010
20204,도봉구,76544
