iter	Accuracy	Logloss
0	0.6966078516	0.6746428397
1	0.7097161536	0.6592518476
2	0.7110169774	0.6462654883
3	0.7113171675	0.6339897941
4	0.7104165972	0.6244113213
5	0.7134184984	0.614786756
6	0.7141856509	0.6066363055
7	0.7138854608	0.6003984535
8	0.7161202095	0.5940305298
9	0.7165871719	0.5885302764
10	0.7185550849	0.5829216463
11	0.7185884393	0.5782490681
12	0.7199559721	0.5743323713
13	0.7211900871	0.5706174098
14	0.7222574297	0.5668946889
15	0.7248924319	0.5633326499
16	0.7252926854	0.5605492571
17	0.7253927487	0.557865571
18	0.7264934458	0.5552884268
19	0.7270271172	0.553089954
20	0.7270604716	0.55055065
21	0.727594143	0.5488210832
22	0.7280944598	0.5470569182
23	0.7286948401	0.5451677824
24	0.7300290184	0.5437278319
25	0.7304959808	0.5417475158
26	0.7314632601	0.5404412623
27	0.732330476	0.5388517178
28	0.7325973116	0.537777638
29	0.7324638938	0.5367108235
30	0.7332644008	0.5356359639
31	0.7340315533	0.5343830214
32	0.7343317434	0.5335144694
33	0.735098896	0.5317510557
34	0.7357993396	0.530884935
35	0.735832694	0.5299325483
36	0.7361662386	0.5290121607
37	0.7360661752	0.5281724936
38	0.7364330743	0.5274512582
39	0.7372669357	0.5265231265
40	0.7379006704	0.525830168
41	0.7383342784	0.5249288614
42	0.7382675695	0.5240555244
43	0.7392014943	0.5228627825
44	0.7391347854	0.5223403188
45	0.7397685201	0.5217049125
46	0.7400353557	0.5211955553
47	0.7412361162	0.5202457718
48	0.7417364331	0.5194901178
49	0.7416030152	0.5189168328
50	0.7430039025	0.5181942707
51	0.742970548	0.5176946714
52	0.7436376372	0.5168176985
53	0.7439378273	0.5163097034
54	0.7444381442	0.5155129333
55	0.7449051066	0.5150325725
56	0.745372069	0.514266164
57	0.7451385878	0.5139286659
58	0.7455388413	0.5131828681
59	0.7459724492	0.5126227988
60	0.7460058037	0.5123302868
61	0.7464394116	0.5116195376
62	0.7466395384	0.5111842955
63	0.7471065008	0.5105409968
64	0.7472732731	0.5099167106
65	0.7477402355	0.5094505383
66	0.7482739068	0.5088986924
67	0.748507388	0.5083977312
68	0.7487408692	0.5079737375
69	0.7486408058	0.5075576073
70	0.7487408692	0.5070549575
71	0.7493746039	0.506691889
72	0.749741503	0.5063540323
73	0.7501417564	0.5060660335
74	0.7501417564	0.5057032022
75	0.7502751743	0.5053065544
76	0.7500416931	0.5045602448
77	0.750908909	0.504229065
78	0.7514425803	0.5037536681
79	0.7518094793	0.5032851875
80	0.752076315	0.5029391584
81	0.752443214	0.5026157755
82	0.7524765685	0.5021656954
83	0.7522430873	0.5017649922
84	0.7522097328	0.501541543
85	0.7523765051	0.5010800908
86	0.7527100497	0.5007641182
87	0.752876822	0.5005032659
88	0.7528434675	0.5001222408
89	0.7532103666	0.4998099501
90	0.7534772022	0.4995266608
91	0.7535105567	0.4992110682
92	0.7536439745	0.4989790784
93	0.7542777092	0.498554043
94	0.754844735	0.4981587553
95	0.7549114439	0.4978434385
96	0.755645242	0.4974055607
97	0.7558120143	0.4969617967
98	0.7563123311	0.4966175776
99	0.7562789767	0.4962125247
100	0.7568793569	0.4959193803
101	0.7574130283	0.4954168997
102	0.7575464461	0.4951579764
103	0.7574797372	0.4949083073
104	0.7582468897	0.4945742477
105	0.7584803709	0.4943058157
106	0.758780561	0.4940245549
107	0.7586471432	0.4937211169
108	0.7588139155	0.4932723098
109	0.7590807511	0.4928639447
110	0.759214169	0.4925767627
111	0.7593142323	0.4922264323
112	0.7596811314	0.491795788
113	0.7592475234	0.4915529858
114	0.760014676	0.491191471
115	0.7603482205	0.4909522748
116	0.7604482839	0.4906552536
117	0.7608818919	0.4903733897
118	0.7610153097	0.4897778297
119	0.7608485374	0.4894936372
120	0.7614155632	0.4891061694
121	0.7614822721	0.4888127916
122	0.7618491711	0.4885890473
123	0.7621160068	0.4883345335
124	0.7623828425	0.4880860854
125	0.7626496781	0.4877516245
126	0.7628831593	0.487453795
127	0.7632167039	0.4872550978
128	0.7637503752	0.4868933954
129	0.7640839198	0.4864246262
130	0.7640172109	0.4860948549
131	0.7644174644	0.4857937178
132	0.7646843001	0.4855620871
133	0.7646175911	0.4853038146
134	0.765117908	0.4849672406
135	0.7654180981	0.4846809522
136	0.7655848704	0.4844343464
137	0.7661185417	0.4840438434
138	0.7664187319	0.4837261218
139	0.7664854408	0.4834110853
140	0.7664520863	0.4830716328
141	0.7664187319	0.4828276032
142	0.7662186051	0.4824480391
143	0.7668189854	0.4818816434
144	0.7673860111	0.4815251442
145	0.7680531003	0.4812370903
146	0.7681531637	0.4809748009
147	0.7682865815	0.4805402613
148	0.7687868984	0.4803545579
149	0.7688202528	0.4800291266
150	0.7691871519	0.4795298695
151	0.7691537974	0.4792969739
152	0.7697208232	0.4788779608
153	0.7697875321	0.4784840809
154	0.7697875321	0.4782766696
155	0.7703212034	0.4779759534
156	0.7706213935	0.4775453917
157	0.7708215203	0.4772266294
158	0.771021647	0.476906708
159	0.7712217738	0.4766979479
160	0.7713885461	0.4763272383
161	0.7717554451	0.4760520752
162	0.7719889263	0.4757462555
163	0.7721890531	0.4753431873
164	0.7731896868	0.4749019061
165	0.7732563957	0.4745262817
166	0.7739568393	0.4741552974
167	0.7741236116	0.4738093272
168	0.7743904473	0.4733941706
169	0.7746906374	0.473048538
170	0.7746906374	0.472676061
171	0.7753577266	0.472132535
172	0.7759914613	0.4715416426
173	0.7769253861	0.4712065729
174	0.7772589307	0.4707094773
175	0.7775591208	0.4703759008
176	0.7778926654	0.4699265027
177	0.7782929188	0.4696037352
178	0.7786598179	0.4691866063
179	0.778960008	0.468950471
180	0.7792268437	0.468474337
181	0.7794936793	0.4680991574
182	0.7798272239	0.4676796983
183	0.7804276041	0.4673349594
184	0.780561022	0.4670179064
185	0.7811280478	0.4666373718
186	0.7816617191	0.4663201971
187	0.7817951369	0.4659428393
188	0.7820286181	0.4656494415
189	0.782095327	0.4652785868
190	0.7822620993	0.4649119268
191	0.7822287449	0.4645202518
192	0.7825622894	0.4640924689
193	0.7829958974	0.4636892058
194	0.7834628598	0.4634088617
195	0.7839298222	0.463150344
196	0.7837964044	0.4628875968
197	0.7844301391	0.4625909711
198	0.784496848	0.4622333608
199	0.7847303292	0.4617654517
200	0.784930456	0.4614811269
201	0.785664254	0.4611244892
202	0.7861645709	0.4606914737
203	0.7862646343	0.4603050393
204	0.7868316601	0.4600130549
205	0.7866982422	0.4597453142
206	0.7867983056	0.4594311499
207	0.7873986858	0.4590229963
208	0.7874320403	0.4585437211
209	0.7874320403	0.4583071795
210	0.7877322304	0.4578966786
211	0.7878656482	0.4574893511
212	0.7880991294	0.4571215847
213	0.7882325473	0.4568299152
214	0.7881324839	0.456441346
215	0.7888329275	0.4561274567
216	0.7885660919	0.4558262342
217	0.789233181	0.455413206
218	0.7893665988	0.4551159657
219	0.7897334979	0.4547935839
220	0.7898002068	0.4545610179
