iter	Passed	Remaining
0	19	19832
1	39	19579
2	58	19364
3	76	19055
4	95	19092
5	114	18960
6	132	18836
7	152	18871
8	171	18937
9	190	18849
10	208	18786
11	227	18718
12	246	18742
13	268	18906
14	287	18872
15	304	18733
16	370	21414
17	389	21248
18	408	21101
19	427	20959
20	446	20795
21	464	20649
22	483	20558
23	503	20483
24	523	20426
25	542	20320
26	561	20236
27	579	20115
28	598	20023
29	616	19946
30	636	19904
31	656	19869
32	677	19851
33	696	19793
34	714	19706
35	732	19622
36	750	19534
37	771	19539
38	790	19487
39	808	19401
40	826	19338
41	844	19262
42	861	19177
43	879	19100
44	897	19038
45	915	18995
46	926	18784
47	945	18749
48	967	18770
49	987	18769
50	1010	18793
51	1030	18781
52	1049	18754
53	1066	18684
54	1083	18624
55	1101	18563
56	1120	18538
57	1138	18490
58	1157	18457
59	1175	18418
60	1194	18383
61	1211	18333
62	1232	18327
63	1252	18323
64	1270	18279
65	1288	18236
66	1305	18185
67	1323	18136
68	1342	18116
69	1362	18097
70	1380	18058
71	1397	18007
72	1414	17958
73	1433	17934
74	1450	17890
75	1469	17861
76	1486	17813
77	1503	17773
78	1521	17737
79	1539	17702
80	1561	17711
81	1580	17698
82	1602	17700
83	1622	17688
84	1645	17709
85	1667	17718
86	1688	17718
87	1710	17722
88	1728	17693
89	1748	17681
90	1768	17667
91	1787	17645
92	1805	17603
93	1823	17574
94	1840	17530
95	1857	17492
96	1876	17466
97	1893	17424
98	1910	17391
99	1927	17351
100	1946	17325
101	1965	17301
102	1983	17276
103	2000	17238
104	2017	17197
105	2034	17161
106	2050	17115
107	2069	17092
108	2087	17059
109	2104	17023
110	2120	16983
111	2138	16951
112	2156	16931
113	2174	16903
114	2193	16880
115	2210	16845
116	2228	16814
117	2245	16783
118	2264	16762
119	2282	16737
120	2301	16716
121	2318	16682
122	2335	16655
123	2355	16638
124	2372	16608
125	2389	16575
126	2409	16564
127	2426	16532
128	2444	16507
129	2461	16475
130	2478	16439
131	2494	16405
132	2512	16378
133	2529	16349
134	2547	16323
135	2564	16293
136	2582	16269
137	2601	16249
138	2619	16225
139	2638	16209
140	2656	16183
141	2675	16163
142	2692	16133
143	2709	16103
144	2731	16106
145	2750	16089
146	2771	16079
147	2790	16062
148	2811	16056
149	2831	16043
150	2850	16025
151	2868	16004
152	2886	15977
153	2904	15953
154	2922	15931
155	2939	15904
156	2957	15878
157	2976	15862
158	2994	15836
159	3011	15808
160	3028	15782
161	3047	15764
162	3063	15732
163	3081	15708
164	3098	15681
165	3116	15658
166	3133	15627
167	3154	15622
168	3173	15606
169	3190	15578
170	3209	15558
171	3226	15534
172	3243	15506
173	3296	15647
174	3321	15657
175	3339	15634
176	3358	15614
177	3375	15589
178	3392	15561
179	3409	15531
180	3427	15510
181	3445	15485
182	3461	15456
183	3479	15432
184	3502	15428
185	3525	15428
186	3546	15419
187	3572	15431
188	3593	15417
189	3609	15388
190	3629	15371
191	3645	15342
192	3662	15315
193	3682	15297
194	3699	15273
195	3718	15253
196	3735	15226
197	3754	15206
198	3772	15185
199	3791	15165
200	3810	15146
201	3827	15120
202	3843	15090
203	3861	15066
204	3878	15040
