iter	Passed	Remaining
0	240	191992
1	343	137024
2	440	117039
3	534	106444
4	621	98758
5	708	93814
6	795	90160
7	884	87613
8	971	85404
9	1054	83328
10	1138	81637
11	1225	80443
12	1313	79499
13	1394	78281
14	1476	77245
15	1565	76703
16	1654	76186
17	1745	75817
18	1838	75556
19	1932	75380
20	2028	75259
21	2136	75538
22	2228	75281
23	2313	74794
24	2404	74544
25	2491	74176
26	2575	73744
27	2661	73383
28	2788	74127
29	2875	73793
30	2969	73670
31	3054	73305
32	3142	73048
33	3229	72752
34	3313	72430
35	3421	72603
36	3507	72324
37	3600	72204
38	3686	71933
39	3770	71631
40	3853	71331
41	3936	71047
42	4016	70716
43	4102	70485
44	4192	70344
45	4275	70078
46	4358	69825
47	4451	69737
48	4534	69503
49	4616	69248
50	4701	69049
51	4782	68800
52	4865	68577
53	4952	68416
54	5045	68343
55	5133	68196
56	5215	67983
57	5299	67795
58	5380	67578
59	5468	67441
60	5552	67268
61	5634	67069
62	5722	66940
63	5808	66793
64	5888	66586
65	5967	66361
66	6051	66206
67	6137	66063
68	6230	66009
69	6315	65861
70	6427	65996
71	6515	65876
72	6599	65726
73	6692	65659
74	6786	65604
75	6869	65439
76	6957	65323
77	7045	65215
78	7137	65141
79	7232	65092
80	7325	65021
81	7410	64886
82	7495	64748
83	7593	64729
84	7680	64610
85	7764	64460
86	7848	64322
87	7939	64236
88	8027	64129
89	8114	64017
90	8201	63898
91	8287	63775
92	8372	63645
93	8462	63559
94	8546	63422
95	8633	63311
96	8713	63152
97	8797	63017
98	8886	62924
99	8972	62807
100	9058	62694
101	9145	62585
102	9241	62534
103	9327	62423
104	9415	62322
105	9500	62200
106	9596	62153
107	9684	62052
108	9774	61965
109	9869	61905
110	10028	62246
111	10111	62110
112	10196	61992
113	10286	61901
114	10375	61802
115	10459	61673
116	10542	61542
117	10635	61467
118	10721	61353
119	10804	61227
120	10889	61106
121	10975	60993
122	11071	60939
123	11152	60800
124	11241	60705
125	11337	60644
126	11419	60515
127	11502	60388
128	11587	60273
129	11684	60220
130	11769	60104
131	11854	59990
132	11943	59897
133	12038	59834
134	12123	59719
135	12205	59590
136	12307	59563
137	12400	59486
138	12486	59376
139	12574	59279
140	12669	59213
141	12753	59099
142	12842	59002
143	12947	58983
144	13031	58866
145	13116	58753
146	13199	58633
147	13282	58514
148	13372	58425
149	13454	58301
150	13539	58193
151	13626	58092
152	13715	57999
153	13806	57915
154	13900	57843
155	13995	57777
156	14083	57679
157	14177	57607
158	14266	57513
159	14356	57425
160	14440	57315
161	14527	57212
162	14611	57102
163	14698	57002
164	14787	56908
165	14872	56802
166	14964	56722
167	15055	56638
168	15144	56547
169	15228	56436
170	15319	56349
171	15416	56287
172	15504	56192
173	15592	56097
174	15682	56009
175	15767	55902
176	15884	55909
177	15970	55808
178	16066	55739
179	16151	55634
180	16236	55526
181	16322	55424
182	16404	55310
183	16490	55206
184	16576	55105
185	16659	54994
186	16741	54880
187	16824	54767
188	16914	54679
189	16999	54577
190	17082	54468
191	17167	54364
192	17249	54249
193	17337	54156
194	17421	54052
195	17510	53961
196	17598	53868
197	17698	53810
198	17798	53752
199	17895	53685
200	17994	53625
201	18091	53558
202	18190	53496
203	18289	53432
204	18385	53363
205	18485	53301
206	18587	53247
207	18682	53173
208	18772	53085
209	18866	53004
210	18960	52927
211	19061	52869
212	19172	52836
213	19274	52780
214	19377	52724
215	19478	52662
216	19577	52598
217	19678	52535
218	19788	52497
219	19884	52422
220	19981	52350
221	20081	52284
222	20177	52208
223	20280	52149
224	20378	52077
225	20482	52021
226	20585	51963
227	20691	51911
228	20794	51848
229	20885	51760
230	20980	51679
231	21071	51588
232	21163	51501
233	21254	51411
234	21355	51344
235	21458	51281
236	21552	51198
237	21654	51133
238	21821	51220
239	21972	51268
240	22126	51322
241	22284	51384
242	22428	51409
243	22565	51419
244	22692	51405
245	22796	51337
246	22893	51254
247	23026	51251
248	23166	51263
249	23299	51259
250	23416	51218
251	23575	51267
252	23708	51259
253	23818	51200
254	23913	51109
255	24047	51101
256	24185	51099
257	24327	51106
258	24445	51062
259	24570	51030
260	24680	50967
261	24783	50891
262	24884	50810
263	24981	50720
264	25077	50628
265	25172	50534
266	25267	50440
267	25375	50371
268	25486	50309
269	25594	50240
270	25688	50144
271	25787	50057
272	25887	49973
273	25982	49879
274	26086	49801
275	26264	49864
276	26408	49860
277	26563	49877
278	26695	49850
279	26796	49764
280	26896	49677
281	27001	49598
282	27103	49513
283	27206	49432
284	27309	49349
285	27412	49266
286	27510	49174
287	27609	49083
288	27708	48992
289	27818	48922
290	27925	48845
291	28024	48755
292	28127	48671
293	28231	48588
294	28337	48510
295	28438	48422
296	28539	48334
297	28666	48291
298	28770	48208
299	28867	48112
300	28968	48024
301	29073	47941
302	29175	47855
303	29285	47781
304	29391	47701
305	29493	47613
306	29594	47525
307	29697	47439
308	29801	47353
309	29892	47249
310	29993	47160
311	30091	47065
312	30203	46994
313	30332	46947
314	30446	46877
315	30549	46791
316	30653	46705
317	30756	46617
318	30855	46524
319	30953	46430
320	31054	46339
321	31155	46249
322	31261	46165
323	31364	46078
324	31511	46055
325	31652	46023
326	31777	45965
327	31878	45874
328	31978	45780
329	32085	45697
330	32194	45616
331	32310	45546
332	32433	45484
333	32552	45417
334	32662	45338
335	32766	45248
336	32874	45165
337	33009	45119
338	33125	45046
339	33239	44971
340	33375	44924
341	33492	44852
342	33616	44789
343	33729	44711
344	33853	44646
345	33979	44585
346	34097	44513
347	34217	44443
348	34317	44347
349	34420	44255
350	34533	44175
351	34640	44088
352	34735	43985
353	34852	43910
354	34966	43830
355	35103	43780
356	35210	43693
357	35308	43592
358	35410	43498
359	35509	43400
360	35610	43305
361	35710	43208
362	35814	43115
363	35928	43035
364	36046	42959
365	36156	42874
366	36264	42785
367	36363	42687
368	36459	42585
369	36558	42487
370	36659	42390
371	36793	42332
372	36909	42252
373	37018	42165
374	37127	42078
375	37234	41987
376	37342	41899
377	37445	41804
378	37552	41713
379	37658	41622
380	37753	41519
381	37853	41420
382	37948	41317
383	38062	41234
384	38167	41141
385	38273	41049
386	38374	40952
387	38475	40855
388	38577	40759
389	38674	40657
390	38777	40562
391	38871	40457
392	38980	40369
393	39087	40278
394	39186	40178
395	39293	40087
396	39393	39988
397	39487	39884
398	39582	39781
399	39684	39684
400	39793	39595
401	39898	39501
402	39997	39402
403	40104	39310
404	40212	39219
405	40328	39136
406	40463	39071
407	40611	39018
408	40743	38950
409	40864	38871
410	41026	38830
411	41190	38791
412	41303	38703
413	41403	38603
414	41503	38503
415	41603	38402
416	41705	38305
417	41817	38216
418	41950	38146
419	42077	38070
420	42221	38009
421	42332	37918
422	42474	37855
423	42600	37777
424	42721	37695
425	42847	37616
426	43027	37585
427	43170	37521
428	43333	37474
429	43460	37396
430	43585	37315
431	43716	37240
432	43845	37162
433	43973	37083
434	44095	36999
435	44213	36912
436	44329	36823
437	44438	36727
438	44542	36628
439	44644	36527
440	44742	36423
441	44849	36326
442	44951	36225
443	45047	36119
444	45145	36015
445	45242	35910
446	45342	35807
447	45437	35700
448	45539	35599
449	45636	35495
450	45737	35393
451	45846	35297
452	46007	35242
453	46140	35164
454	46266	35080
455	46400	35003
456	46502	34902
457	46628	34818
458	46750	34732
459	46870	34643
460	46991	34555
461	47121	34474
462	47285	34417
463	47401	34325
464	47541	34250
465	47652	34154
466	47773	34065
467	47894	33976
468	48033	33899
469	48178	33827
470	48306	33742
471	48434	33657
472	48564	33574
473	48698	33493
474	48820	33403
475	48953	33321
476	49082	33236
477	49194	33139
478	49307	33043
479	49452	32968
480	49550	32861
481	49642	32751
482	49738	32644
483	49841	32541
484	49934	32431
485	50028	32323
486	50142	32226
487	50278	32145
488	50390	32047
489	50512	31956
