기준_년분기_코드,자치구_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20191,강서구,121640307.0,56650222.0,64990085.0,19857178.0,16380428.0,21126446.0,18540394.0,17062946.0,28672916.0,33998528.0,25511876.0,13579381.0,13284166.0,19090966.0,16175390.0,17221643.0,17197504.0,17227849.0,17173287.0,17190355.0,17658345.0,17971324.0
20191,금천구,39866580.0,19527604.0,20338978.0,4837492.0,5516945.0,6624985.0,6267026.0,6704885.0,9915249.0,10974828.0,8220991.0,4522997.0,4497691.0,6373869.0,5276204.0,5695190.0,5694903.0,5676054.0,5649366.0,5651434.0,5704858.0,5794778.0
20191,중랑구,105726619.0,49350033.0,56376586.0,15483572.0,13673366.0,15490425.0,15398860.0,17640132.0,28040266.0,29390652.0,21831529.0,11736152.0,11635660.0,17024606.0,14108020.0,14939472.0,14953301.0,14882939.0,14798477.0,14820778.0,15489154.0,15842499.0
20191,은평구,103508363.0,47071450.0,56436913.0,17102770.0,12810533.0,14745196.0,15953690.0,15411578.0,27484597.0,29500626.0,21498752.0,11165231.0,11016892.0,16299214.0,14027648.0,14614392.0,14624876.0,14567743.0,14488482.0,14528386.0,15175295.0,15509190.0
20191,관악구,139993667.0,68197888.0,71795779.0,15889390.0,31787956.0,25099957.0,19065034.0,17379850.0,30771480.0,39092357.0,29051705.0,15240015.0,15079027.0,22554939.0,18975625.0,19567492.0,19553256.0,19575826.0,19559627.0,19698685.0,20839390.0,21199394.0
20191,중구,64615409.0,32160550.0,32454860.0,5139538.0,10698647.0,12385050.0,11374093.0,10386764.0,14631316.0,11513954.0,13188050.0,10779078.0,10931280.0,11668403.0,6534645.0,9630185.0,9564536.0,9795540.0,10122990.0,9997620.0,8235164.0,7269374.0
20191,동대문구,111561333.0,53751606.0,57809725.0,14788033.0,19949591.0,15618179.0,15718568.0,15994153.0,29492808.0,28288523.0,23362468.0,13851463.0,13804324.0,18284586.0,13969969.0,15901503.0,15879650.0,15937913.0,15972975.0,15850477.0,16001728.0,16017086.0
20191,노원구,107151857.0,49434539.0,57717318.0,19430850.0,15134986.0,12617844.0,16195713.0,16523022.0,27249441.0,28209631.0,21970342.0,12437584.0,12528499.0,17975233.0,14030568.0,15102349.0,15088076.0,15117962.0,15045247.0,15075703.0,15739178.0,15983339.0
20191,성북구,127926756.0,58736958.0,69189799.0,22049933.0,20306203.0,16889915.0,19048193.0,17977731.0,31654783.0,33978158.0,26487720.0,14882236.0,14832659.0,21083697.0,16662287.0,18104844.0,18099477.0,18122319.0,18132026.0,18090584.0,18529247.0,18848259.0
20191,양천구,83965370.0,39218646.0,44746724.0,16770222.0,9778053.0,11514329.0,13670924.0,12775666.0,19456178.0,23423983.0,17400691.0,9306613.0,9217365.0,13393333.0,11223387.0,11859285.0,11867482.0,11866720.0,11813923.0,11871043.0,12249928.0,12436990.0
