기준_년분기_코드,자치구_코드_명,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_미만_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,총_가구_수
20191,강동구,429222.0,213009.0,216213.0,70240.0,58078.0,68274.0,69264.0,71517.0,91849.0,36787.0,29639.0,34388.0,34741.0,34790.0,42664.0,33453.0,28439.0,33886.0,34523.0,36727.0,49185.0,176110.0
20191,송파구,660200.0,320761.0,339439.0,114233.0,92142.0,114010.0,109757.0,103001.0,127057.0,58829.0,45211.0,54659.0,53257.0,49575.0,59230.0,55404.0,46931.0,59351.0,56500.0,53426.0,67827.0,265484.0
20191,관악구,501538.0,252316.0,249222.0,58931.0,99550.0,93829.0,73385.0,70647.0,105196.0,30328.0,49292.0,51141.0,39182.0,34687.0,47686.0,28603.0,50258.0,42688.0,34203.0,35960.0,57510.0,258579.0
20191,강남구,540006.0,258545.0,281461.0,97156.0,75848.0,88402.0,98706.0,80022.0,99872.0,50674.0,36753.0,40263.0,46176.0,39523.0,45156.0,46482.0,39095.0,48139.0,52530.0,40499.0,54716.0,226589.0
20191,동작구,392659.0,191202.0,201457.0,56951.0,63096.0,66366.0,61308.0,58688.0,86250.0,29207.0,31281.0,33541.0,30772.0,27967.0,38434.0,27744.0,31815.0,32825.0,30536.0,30721.0,47816.0,173658.0
20191,영등포구,364249.0,181544.0,182705.0,51563.0,53135.0,65843.0,56701.0,56547.0,80460.0,26796.0,25649.0,33875.0,29239.0,28624.0,37361.0,24767.0,27486.0,31968.0,27462.0,27923.0,43099.0,167158.0
20191,서초구,434500.0,207998.0,226502.0,82393.0,56794.0,69671.0,79792.0,63086.0,82764.0,42083.0,27693.0,31916.0,37857.0,30663.0,37786.0,40310.0,29101.0,37755.0,41935.0,32423.0,44978.0,172177.0
20191,금천구,229281.0,116522.0,112759.0,30530.0,34075.0,35730.0,34971.0,41423.0,52552.0,15570.0,17647.0,19560.0,18224.0,20924.0,24597.0,14960.0,16428.0,16170.0,16747.0,20499.0,27955.0,104842.0
20191,구로구,401252.0,199049.0,202203.0,62780.0,53645.0,65652.0,64810.0,63420.0,90945.0,32144.0,26720.0,33308.0,33474.0,31198.0,42205.0,30636.0,26925.0,32344.0,31336.0,32222.0,48740.0,169501.0
20191,마포구,371301.0,176868.0,194433.0,57089.0,57143.0,66887.0,63573.0,53661.0,72948.0,28952.0,26724.0,31926.0,31314.0,26271.0,31681.0,28137.0,30419.0,34961.0,32259.0,27390.0,41267.0,169131.0
20191,서대문구,307097.0,148099.0,158998.0,45079.0,47436.0,45228.0,48881.0,49028.0,71445.0,22893.0,23321.0,22475.0,24238.0,23812.0,31360.0,22186.0,24115.0,22753.0,24643.0,25216.0,40085.0,136054.0
20191,은평구,480305.0,232712.0,247593.0,74761.0,64460.0,71386.0,80078.0,77508.0,112112.0,38422.0,31892.0,35631.0,39722.0,37247.0,49798.0,36339.0,32568.0,35755.0,40356.0,40261.0,62314.0,201710.0
20191,양천구,458838.0,226194.0,232644.0,86905.0,61747.0,62388.0,81382.0,77856.0,88560.0,45138.0,31892.0,30710.0,39037.0,38776.0,40641.0,41767.0,29855.0,31678.0,42345.0,39080.0,47919.0,173416.0
20191,강서구,596073.0,289935.0,306138.0,94860.0,85483.0,107625.0,94723.0,91129.0,122253.0,48401.0,41062.0,54592.0,47608.0,43294.0,54978.0,46459.0,44421.0,53033.0,47115.0,47835.0,67275.0,254816.0
20191,종로구,151613.0,74213.0,77400.0,20303.0,23328.0,21194.0,23652.0,25598.0,37538.0,10325.0,11710.0,10552.0,11529.0,12903.0,17194.0,9978.0,11618.0,10642.0,12123.0,12695.0,20344.0,72651.0
20191,노원구,540992.0,262481.0,278511.0,96697.0,75728.0,71431.0,93372.0,89604.0,114160.0,50013.0,39120.0,35400.0,44636.0,43507.0,49805.0,46684.0,36608.0,36031.0,48736.0,46097.0,64355.0,213477.0
20191,도봉구,338290.0,165667.0,172623.0,50983.0,45759.0,45857.0,52942.0,59324.0,83425.0,26269.0,23450.0,23431.0,26081.0,28276.0,38160.0,24714.0,22309.0,22426.0,26861.0,31048.0,45265.0,136288.0
20191,용산구,225244.0,109013.0,116231.0,31023.0,31134.0,37737.0,36809.0,35715.0,52826.0,15917.0,15224.0,18865.0,18178.0,17632.0,23197.0,15106.0,15910.0,18872.0,18631.0,18083.0,29629.0,106244.0
20191,중랑구,401410.0,199750.0,201660.0,55914.0,56611.0,62534.0,61490.0,71609.0,93252.0,28672.0,28663.0,32453.0,31645.0,35342.0,42975.0,27242.0,27948.0,30081.0,29845.0,36267.0,50277.0,177924.0
20191,성북구,437799.0,213178.0,224621.0,70574.0,63056.0,62846.0,73893.0,68690.0,98740.0,36161.0,31177.0,31343.0,36875.0,33715.0,43907.0,34413.0,31879.0,31503.0,37018.0,34975.0,54833.0,185478.0
20191,중구,119357.0,59018.0,60339.0,13939.0,16926.0,19249.0,18083.0,20172.0,30988.0,7026.0,8360.0,9740.0,9380.0,10321.0,14191.0,6913.0,8566.0,9509.0,8703.0,9851.0,16797.0,58223.0
20191,동대문구,343470.0,171486.0,171984.0,47615.0,53053.0,51960.0,53257.0,54856.0,82729.0,24386.0,27234.0,26910.0,27520.0,27549.0,37887.0,23229.0,25819.0,25050.0,25737.0,27307.0,44842.0,158664.0
20191,광진구,352246.0,171513.0,180733.0,50834.0,59338.0,60846.0,55931.0,56184.0,69113.0,26081.0,28544.0,30180.0,27622.0,27416.0,31670.0,24753.0,30794.0,30666.0,28309.0,28768.0,37443.0,160030.0
20191,성동구,304203.0,149674.0,154529.0,44892.0,45130.0,52842.0,49076.0,48869.0,63394.0,22683.0,22550.0,26251.0,24871.0,24539.0,28780.0,22209.0,22580.0,26591.0,24205.0,24330.0,34614.0,133950.0
20191,강북구,321025.0,157120.0,163905.0,43853.0,43690.0,44297.0,51063.0,54468.0,83654.0,22548.0,21745.0,23248.0,25995.0,26459.0,37125.0,21305.0,21945.0,21049.0,25068.0,28009.0,46529.0,142671.0
20192,강서구,594134.0,288826.0,305308.0,95095.0,86423.0,106398.0,93943.0,90891.0,121384.0,48548.0,41354.0,54079.0,47157.0,43147.0,54541.0,46547.0,45069.0,52319.0,46786.0,47744.0,66843.0,256450.0
20192,양천구,459945.0,226570.0,233375.0,87799.0,61753.0,62328.0,81424.0,77814.0,88827.0,45633.0,31793.0,30680.0,39009.0,38721.0,40734.0,42166.0,29960.0,31648.0,42415.0,39093.0,48093.0,174836.0
20192,구로구,401731.0,199146.0,202585.0,63330.0,54426.0,65032.0,64567.0,63628.0,90748.0,32425.0,27073.0,33000.0,33304.0,31244.0,42100.0,30905.0,27353.0,32032.0,31263.0,32384.0,48648.0,170708.0
20192,서대문구,308276.0,148619.0,159657.0,45928.0,47988.0,45054.0,49024.0,49179.0,71103.0,23378.0,23593.0,22345.0,24283.0,23858.0,31162.0,22550.0,24395.0,22709.0,24741.0,25321.0,39941.0,137284.0
20192,서초구,433095.0,207573.0,225522.0,83567.0,57053.0,68811.0,79544.0,62496.0,81624.0,42786.0,27788.0,31578.0,37767.0,30359.0,37295.0,40781.0,29265.0,37233.0,41777.0,32137.0,44329.0,172376.0
20192,관악구,503089.0,252991.0,250098.0,59766.0,103183.0,91978.0,73078.0,70744.0,104340.0,30858.0,51096.0,50085.0,39032.0,34705.0,47215.0,28908.0,52087.0,41893.0,34046.0,36039.0,57125.0,261563.0
20192,강남구,541072.0,259055.0,282017.0,99078.0,76342.0,87661.0,99135.0,79199.0,99657.0,51659.0,36815.0,39935.0,46462.0,39120.0,45064.0,47419.0,39527.0,47726.0,52673.0,40079.0,54593.0,228079.0
20192,용산구,225752.0,109132.0,116620.0,31261.0,31897.0,37522.0,36646.0,35777.0,52649.0,16039.0,15508.0,18782.0,18064.0,17639.0,23100.0,15222.0,16389.0,18740.0,18582.0,18138.0,29549.0,107029.0
20192,성북구,435361.0,211705.0,223656.0,70880.0,63237.0,62046.0,73292.0,68262.0,97644.0,36253.0,31224.0,30872.0,36519.0,33491.0,43346.0,34627.0,32013.0,31174.0,36773.0,34771.0,54298.0,185793.0
20192,강북구,319768.0,156376.0,163392.0,44055.0,43757.0,43651.0,50814.0,54310.0,83181.0,22671.0,21733.0,22891.0,25824.0,26413.0,36844.0,21384.0,22024.0,20760.0,24990.0,27897.0,46337.0,143242.0
20192,도봉구,338253.0,165643.0,172610.0,51297.0,45892.0,45517.0,52893.0,59420.0,83234.0,26457.0,23545.0,23265.0,26028.0,28322.0,38026.0,24840.0,22347.0,22252.0,26865.0,31098.0,45208.0,137261.0
20192,중구,118801.0,58710.0,60091.0,13997.0,17134.0,19015.0,17837.0,20085.0,30733.0,7050.0,8465.0,9648.0,9229.0,10273.0,14045.0,6947.0,8669.0,9367.0,8608.0,9812.0,16688.0,58403.0
20192,은평구,483988.0,234102.0,249886.0,76244.0,64961.0,71886.0,80400.0,78051.0,112446.0,39067.0,32032.0,35852.0,39825.0,37447.0,49879.0,37177.0,32929.0,36034.0,40575.0,40604.0,62567.0,204752.0
20192,금천구,230741.0,117325.0,113416.0,30815.0,34918.0,35559.0,34968.0,41664.0,52817.0,15742.0,18185.0,19506.0,18186.0,21001.0,24705.0,15073.0,16733.0,16053.0,16782.0,20663.0,28112.0,106307.0
20192,마포구,371112.0,176549.0,194563.0,57761.0,58321.0,66317.0,63085.0,53389.0,72239.0,29269.0,27166.0,31689.0,30991.0,26127.0,31307.0,28492.0,31155.0,34628.0,32094.0,27262.0,40932.0,170229.0
20192,송파구,663222.0,321999.0,341223.0,115906.0,93712.0,113934.0,109716.0,103224.0,126730.0,59701.0,45735.0,54620.0,53228.0,49661.0,59054.0,56205.0,47977.0,59314.0,56488.0,53563.0,67676.0,268569.0
20192,종로구,152257.0,74453.0,77804.0,20679.0,23574.0,21110.0,23721.0,25678.0,37495.0,10495.0,11840.0,10468.0,11538.0,12915.0,17197.0,10184.0,11734.0,10642.0,12183.0,12763.0,20298.0,73303.0
20192,노원구,543369.0,263683.0,279686.0,97877.0,75730.0,71195.0,93707.0,89842.0,115018.0,50694.0,39160.0,35349.0,44806.0,43562.0,50112.0,47183.0,36570.0,35846.0,48901.0,46280.0,64906.0,216058.0
20192,성동구,308684.0,151546.0,157138.0,45686.0,46644.0,53540.0,49288.0,49811.0,63715.0,23076.0,23331.0,26453.0,24943.0,24811.0,28932.0,22610.0,23313.0,27087.0,24345.0,25000.0,34783.0,136930.0
20192,강동구,427463.0,211882.0,215581.0,70452.0,58172.0,67395.0,68829.0,71131.0,91484.0,36877.0,29614.0,33908.0,34497.0,34577.0,42409.0,33575.0,28558.0,33487.0,34332.0,36554.0,49075.0,176676.0
20192,광진구,355498.0,172750.0,182748.0,51890.0,60969.0,60626.0,56179.0,56645.0,69189.0,26595.0,29201.0,29986.0,27676.0,27592.0,31700.0,25295.0,31768.0,30640.0,28503.0,29053.0,37489.0,162119.0
20192,동대문구,343514.0,171352.0,172162.0,48170.0,53558.0,51564.0,53084.0,54868.0,82270.0,24639.0,27411.0,26695.0,27405.0,27552.0,37650.0,23531.0,26147.0,24869.0,25679.0,27316.0,44620.0,159751.0
20192,중랑구,402969.0,200395.0,202574.0,56604.0,57149.0,62126.0,61385.0,72065.0,93640.0,29037.0,28869.0,32184.0,31600.0,35550.0,43155.0,27567.0,28280.0,29942.0,29785.0,36515.0,50485.0,179738.0
20192,영등포구,363551.0,180970.0,182581.0,51527.0,54267.0,65216.0,56100.0,56379.0,80062.0,26718.0,26112.0,33611.0,28900.0,28554.0,37075.0,24809.0,28155.0,31605.0,27200.0,27825.0,42987.0,168468.0
